10000 30000
6503 3511 515
9136 1313 355
7377 8149 923
6573 1646 912
4207 5334 546
4380 7369 405
5071 415 19
9895 2566 526
1923 3868 97
9822 5268 793
7530 4404 402
3805 1781 715
4717 8354 216
4263 2562 215
3021 3294 549
6392 8365 270
3919 8261 686
8016 6536 252
3161 7844 472
2052 7666 885
4454 1548 154
8169 5353 910
2738 71 692
8953 686 398
6854 59 312
7811 6723 607
2415 1091 937
887 4252 474
8124 6305 670
630 7111 336
7541 1633 237
5983 3324 590
255 8655 700
579 2818 563
1869 1585 286
3343 2472 729
9013 6949 982
8701 7579 639
9938 5120 750
6529 7705 735
9542 3689 106
9594 8337 782
8973 5523 313
8612 3744 139
9341 7087 724
4323 2452 549
9417 7444 850
2152 325 902
5611 6220 607
2393 2166 648
2058 8224 985
379 7198 929
7870 5810 805
6946 5151 549
4847 5827 989
9697 4141 441
8479 3558 947
2381 2063 744
7674 641 340
6419 2808 989
8478 1032 974
5209 8230 256
3079 392 61
6377 5544 962
922 1864 951
8134 3838 44
8475 1512 562
8790 2761 203
2046 7970 396
8459 7401 626
1774 3779 19
9077 1356 915
9174 8630 286
3219 4384 502
1359 2518 277
3921 993 115
3477 7809 979
9488 6600 911
2884 4998 24
863 9810 347
9234 1584 748
9501 661 879
1139 9836 587
4641 9407 218
9919 7118 602
9034 7392 120
869 4275 14
6709 875 277
5946 2226 653
2395 9972 0
1896 6985 332
3035 3173 920
7676 2580 490
3947 6051 92
2982 3443 564
5348 4312 382
8977 1021 658
6630 6967 885
8983 128 463
7084 8875 499
7416 7123 471
7688 158 809
6530 4187 982
1974 8134 563
6539 7468 614
273 9168 409
8283 8145 721
7169 1128 94
4632 111 414
484 7195 894
963 1893 307
5004 8404 116
1534 8943 99
3509 3429 14
6400 898 980
6673 6418 389
4957 4564 462
8478 5692 908
2155 4569 462
9350 5691 946
6665 3936 606
1669 8692 722
9556 7635 821
9417 1065 835
8315 9556 817
4733 18 842
9297 9279 151
1341 7953 981
3496 2522 444
9198 4565 742
2216 8502 348
237 7194 423
9793 4830 244
9210 2247 432
1379 562 599
6574 5295 508
6725 945 878
8638 5111 59
3985 9597 487
8551 9298 37
7053 7073 253
599 5317 491
1781 3101 636
5053 9578 28
2913 2504 942
791 9230 238
7949 3641 535
3060 2496 525
3397 8445 12
7743 3655 948
4816 6498 353
6486 9135 953
5939 7334 86
7344 3264 115
257 5769 409
5350 4992 999
4762 7488 412
8159 2285 424
6460 6381 826
1813 7549 834
4118 4035 332
8205 6327 467
2672 23 153
8081 6633 418
6081 4034 539
3967 9384 890
379 498 234
5009 4359 156
1469 740 334
3283 8290 168
1958 1356 501
982 1380 474
9064 8013 244
1497 2047 783
7783 5259 816
8281 7333 548
3290 8044 56
1112 8785 390
4395 3427 911
8148 2104 412
6459 3461 732
7441 1193 206
6505 9206 450
4354 7605 585
2523 5388 610
1071 21 869
2479 9663 554
4869 775 599
1780 1522 384
544 6023 811
1277 2482 267
6835 9923 80
638 2781 273
8223 7135 479
9186 6010 436
7081 8197 55
5912 4213 610
782 1340 561
8914 2863 297
9459 8886 108
7088 1368 727
275 7643 808
7265 424 81
1027 9922 913
3356 9427 434
9268 3640 44
6402 1333 957
5317 4196 254
9434 442 128
7154 2250 568
4797 3683 195
5222 7596 461
9134 650 302
5408 5528 681
8764 4955 115
8033 4948 512
787 6281 469
2456 6829 724
3584 6263 438
4504 3417 880
5700 8214 482
513 9788 166
7167 8922 114
4848 4331 764
8963 9447 644
4827 3832 600
297 4620 900
9021 7076 181
4692 1517 10
3174 3569 42
1692 434 608
7807 7601 397
923 8801 671
9568 4117 354
9520 8944 802
4420 9241 634
1953 4614 254
6315 3074 331
6940 4118 344
5942 8985 213
4339 3144 569
4363 4067 523
8717 9987 676
2519 9507 793
154 3927 738
8760 5880 331
4443 8547 946
7139 5487 372
1840 5116 490
7636 170 119
5458 1407 35
8548 7913 882
880 3026 161
4178 7469 394
6902 4609 941
1526 506 429
3613 7256 718
3000 4921 696
2375 379 584
418 6160 344
1812 6690 635
1754 3592 105
8862 7238 535
6857 9734 212
465 5430 178
5386 6367 178
2118 8711 553
7398 1672 810
9910 1308 581
6600 4765 393
9183 3034 544
5915 7524 880
9505 1732 742
2714 1466 307
3180 6896 485
4918 9615 663
3388 4678 217
786 6351 379
4011 2354 696
8776 8205 648
4311 7592 192
226 5116 72
6083 6848 167
1562 622 797
1178 9191 248
5856 571 636
1531 823 559
8443 4664 570
6035 5089 9
7503 8256 235
4351 3082 670
9017 3041 468
579 15 797
9207 4386 109
6130 4513 318
7661 5336 877
4251 9808 448
9046 825 146
5081 5914 156
8936 522 743
3287 3604 414
2997 6031 656
9364 3781 587
4519 367 571
9032 9244 53
4368 7044 67
529 6191 318
1354 7347 364
3620 3442 797
4142 7856 733
4098 2090 372
7095 8122 28
2811 8255 615
1383 2774 664
2436 1806 383
7503 2526 628
3055 8215 173
761 1914 889
4381 5357 686
8523 9565 771
2420 6130 143
5232 4385 491
2967 3511 507
1755 1669 891
8784 3603 871
6674 4364 111
712 8746 25
3484 3621 734
979 2595 300
1855 1367 956
5346 6599 438
4205 9566 175
6096 7674 686
1863 2069 355
5326 5095 505
4351 5808 870
5644 3941 438
2975 6536 738
4830 4256 46
855 9659 528
6774 4697 734
4448 5052 182
2506 6812 502
7602 2034 43
9762 6002 746
5406 9943 184
9564 3440 274
7421 7864 444
8221 9268 713
2306 1575 567
4813 8387 636
8767 421 679
2775 2314 529
9070 8588 287
8254 1261 20
1694 4769 936
2342 7937 381
6115 2153 911
689 7774 976
9347 9349 543
512 7736 179
9279 4509 210
3636 9654 160
9058 8242 799
3665 5855 820
5359 625 108
4053 4914 489
6521 3419 753
7210 1193 729
2909 542 625
3422 4630 156
2701 5491 719
3214 5479 59
4013 4538 713
9833 8203 955
9294 9914 163
2135 320 788
7888 6841 54
1970 403 473
5947 3312 667
3086 7544 455
5788 3035 174
9002 8515 233
3015 9405 946
9201 3960 254
4847 226 417
546 5611 982
3739 436 223
494 6455 193
159 3017 492
3245 561 947
5385 9948 122
4387 4815 355
3755 4220 654
9308 4532 260
4155 4759 29
2360 1749 938
1905 8595 337
7397 8754 793
1345 8352 162
5819 3737 75
1174 4477 23
9180 4584 839
792 3892 411
2821 4399 296
1759 1888 55
3998 2506 64
8143 6256 761
5305 3953 515
5732 9772 867
9755 7298 957
4946 6479 434
710 7271 18
1006 6445 262
2413 8204 661
1829 7217 549
2995 7567 150
2756 5710 9
1271 7367 265
4491 9451 218
1448 9206 990
5252 1215 288
7866 8573 743
8527 7338 188
1076 9167 744
579 2162 961
9942 7205 918
3661 9423 542
3112 7765 33
2319 3405 833
9176 1877 67
6743 7620 671
5316 6160 537
2654 2904 416
8173 3218 492
1606 7393 423
4148 1054 216
7533 4167 991
2366 2838 108
2785 2014 514
4808 5109 743
9431 7131 363
7604 349 958
4292 4152 381
5899 1545 745
47 2599 313
3933 3118 657
2651 5956 765
1789 4322 631
6597 9431 374
1295 6208 89
5639 8096 408
3888 8949 366
9787 494 845
6187 9446 158
6472 2564 815
9123 8521 933
912 9195 564
7510 8627 291
5157 4835 380
5917 6827 345
5636 6423 793
736 311 590
2933 6451 892
8443 8990 386
1814 3749 611
937 8622 544
8202 7817 460
2796 1132 712
7632 7829 221
4459 2622 138
7234 8564 774
3897 3456 862
6700 8843 795
2042 6379 239
3856 128 850
4794 5102 746
2996 2920 206
5060 5716 958
8633 9700 442
1771 511 271
6898 7745 245
2760 7995 809
7908 4695 266
5147 6738 461
4349 594 840
447 1740 321
9757 1133 423
2028 9257 464
3273 6155 976
3083 5267 73
1162 4674 68
7323 5822 206
99 7828 893
9442 6791 333
7206 6549 834
1023 4929 319
4555 2083 999
7638 7351 424
339 6878 845
7853 1553 961
3855 3280 167
7531 9103 319
7630 6931 564
3424 74 898
6983 2975 84
8006 7905 403
3357 8812 332
978 3141 415
2291 7346 997
7810 7553 902
4482 5084 182
398 9066 637
296 8843 920
5136 184 995
6820 9893 579
4235 7026 391
5354 4357 193
9703 6648 686
1957 811 32
2129 2043 586
49 8692 441
8044 4424 284
5912 1998 719
1891 3690 732
5269 6883 320
9626 9570 674
2627 9602 729
9790 3540 686
1435 2563 177
3478 3356 306
2170 6640 356
6595 8454 752
2507 6804 471
4912 316 770
9938 9943 695
2570 8220 19
2360 1760 705
675 4541 147
4031 7249 625
7023 4353 796
8633 8947 743
4759 458 680
396 292 806
1415 9214 424
5472 7926 644
3707 8073 756
8248 1698 784
1849 7494 167
9379 192 543
4678 9386 710
9845 6739 437
6593 3383 596
4361 2597 20
6185 523 664
9892 8596 772
4492 295 556
6341 4141 76
2544 6731 619
8275 6923 695
2954 2661 405
8743 8858 148
8339 1804 887
359 6165 271
9375 2350 220
3500 8595 744
3408 3087 340
9484 5781 987
1455 4677 129
1151 2952 212
3556 5906 487
8704 1002 148
6944 9341 7
8567 6053 163
2787 5428 328
7224 8689 30
3563 8173 65
4044 5981 846
1256 7132 875
1743 7040 827
1244 5745 86
9603 9041 88
9766 7608 781
7476 631 834
7454 4207 895
6871 7770 584
8167 7739 69
5775 1223 944
3871 8263 771
5115 360 209
1070 9401 649
836 3361 431
109 7880 282
7092 2776 110
1299 2712 564
5421 4470 787
8561 1800 940
6136 2924 716
4400 5485 587
4760 4135 54
514 4566 124
3875 9183 960
7428 2544 594
5079 5256 621
6853 6079 408
6793 992 265
2509 7129 417
8448 1529 693
9502 2641 179
7978 3155 314
9884 3719 232
9589 1148 183
6562 2579 727
1322 9432 336
2357 5087 415
8050 3536 888
9229 9390 417
895 7369 411
7127 4659 918
8895 896 301
4078 6837 21
8158 3399 521
9261 661 100
2020 9370 111
1909 7420 198
9678 3002 734
89 249 477
6360 3729 198
9661 2624 857
3907 7564 105
1008 1410 693
3893 671 415
3004 9044 428
3554 953 798
1289 6983 570
1118 7073 924
9785 3903 316
2481 2285 525
2740 9850 573
3748 1260 267
3993 8284 34
3349 3680 814
6904 4633 964
4545 1616 534
5663 5041 811
3979 4826 337
504 625 592
2487 9458 471
2198 5958 61
3571 8066 299
5535 6844 292
6520 4730 546
2541 3106 488
6878 7085 882
3941 4037 470
3495 1402 429
4345 931 842
6989 9138 940
6631 1025 820
9529 3897 664
6972 4738 394
3515 4032 288
7457 8070 341
238 7917 634
7954 660 36
6894 7650 680
8066 633 171
163 8094 730
3566 9804 476
7081 188 635
4610 6962 538
8880 9999 128
5195 6748 208
5856 780 514
3826 491 951
9908 654 500
8737 4142 946
2853 4060 130
5488 1141 934
816 2032 474
3160 4317 779
7721 9512 778
235 5368 878
5996 5226 10
6174 5718 962
3218 9890 814
4176 9514 278
8650 330 772
4087 4461 804
9637 3832 316
4864 2146 621
5581 6610 147
9211 7138 428
3983 5788 942
7139 6228 624
4632 6029 456
5499 8118 901
5683 1091 539
7829 239 755
1821 9051 141
5004 3844 861
4179 8101 946
1319 4329 922
4775 5314 360
8620 4215 390
4182 2509 241
773 5550 105
8947 954 246
5586 9634 171
5782 5595 175
9962 48 473
2408 9692 747
1028 259 850
7767 3014 91
8302 1875 367
9075 3778 472
8022 4732 70
1545 6670 529
2453 7110 72
3932 4307 897
544 4750 836
4117 2258 910
2060 6647 941
9957 3318 892
6382 2123 407
6279 890 869
276 7290 379
4392 2286 620
9142 6242 448
3259 4852 358
2552 2538 496
2915 950 411
8807 7259 411
3435 6273 729
2901 8736 167
2987 4834 787
7379 7120 691
6522 9715 140
6133 4567 498
8686 3457 994
7953 759 758
8019 8250 113
1660 2454 679
7933 3900 467
835 2636 634
3822 7470 773
1201 942 464
4075 657 604
209 1577 455
5247 5034 801
3200 5794 911
6313 3813 80
8345 1825 682
3812 9759 136
9798 594 36
8571 768 672
5387 8321 494
3344 2397 789
1799 8958 798
952 4205 375
3864 3757 762
6423 9721 296
1546 5467 768
7657 1856 932
4603 880 82
5371 7375 5
3693 7516 392
6090 8314 736
5048 690 535
5605 4452 840
5714 360 56
2137 81 704
3257 7979 683
4541 5637 503
6592 7239 623
1964 966 980
4451 6797 373
5851 3839 997
1456 8291 837
3522 8651 245
5660 5084 949
5269 9415 985
1404 7199 811
7997 790 786
9961 1757 767
6591 9601 322
9740 6598 773
3579 3787 624
1870 1384 80
6873 2334 602
1957 2319 614
3159 7047 373
358 5185 777
1148 1304 126
6796 5409 257
2750 8182 201
9488 3238 941
3193 4265 872
5159 2574 558
2395 299 877
9429 1746 794
6555 9247 980
9995 4856 636
5404 7057 433
9939 8999 535
3097 4520 235
2688 8263 75
2233 8880 948
7392 7807 858
8106 2476 788
7535 575 582
4091 9822 914
438 1030 551
5842 8088 336
3439 4458 133
8926 3834 583
1966 7780 856
72 257 740
3960 832 675
7006 5492 403
4388 5180 841
2267 3862 35
2930 4396 104
1857 8230 727
6016 4922 935
7982 9055 535
4406 9312 276
4718 6496 951
5473 3502 892
314 7890 385
3702 6719 917
9223 5338 321
2679 8269 535
6758 6478 931
3693 2494 513
6828 842 580
1234 6506 856
2305 3002 159
2856 8789 778
706 8147 99
8379 7370 818
2197 3159 508
9062 6852 607
850 432 101
8044 6641 281
2173 3905 800
9951 6762 204
4396 3861 993
4031 6431 543
2698 2666 539
4895 5825 21
3958 9029 628
1160 5814 82
5556 8807 363
107 2607 231
7127 2157 756
6561 2000 988
9345 8265 371
2043 7284 262
9461 5912 290
8491 346 600
9464 3645 760
8423 2401 776
9587 7461 141
8097 6918 268
4658 8918 608
4003 3535 979
6046 819 242
5689 6633 877
9289 1476 789
402 2133 487
7071 7949 549
3847 6372 194
7341 2312 947
7961 409 409
9570 1419 327
5423 1484 901
7821 8656 495
9862 5289 373
9152 6765 162
9554 8898 2
2977 3199 551
3176 9571 97
517 8235 396
8479 4996 805
6416 7433 401
8191 8918 302
2364 7574 798
2227 2863 523
7731 9628 37
3637 4878 39
6614 8077 942
308 8588 39
6352 6863 139
4543 5781 194
3260 3355 344
6855 3428 867
9821 7857 887
9611 1858 278
6271 446 66
7302 6735 12
6497 1278 305
7193 4538 439
2061 6377 794
1318 5947 717
9154 3696 614
8975 1553 501
8587 9763 132
4858 6561 550
2621 6944 562
2772 1309 356
9966 2200 453
4929 3316 379
3584 8311 229
8165 5359 632
199 1508 537
9114 4129 214
4822 405 510
6641 9495 541
7874 8684 241
7571 5913 557
2235 8649 493
6752 360 125
5401 7010 663
1952 8518 316
7418 9000 530
2241 5757 393
6429 8934 934
3071 8430 137
1312 2656 892
9221 6580 929
2192 5567 194
8855 7320 555
9523 9272 565
6799 5284 436
6733 8065 545
8223 1136 479
8800 7270 467
4374 3850 396
3633 936 943
8841 8256 694
8364 3880 611
2770 6923 47
5921 8559 835
2655 6625 380
7230 4113 212
697 9266 825
4446 3640 95
741 5081 945
1879 8714 314
925 7555 250
8537 2272 506
9584 5042 739
5772 7316 14
152 6323 574
4364 3553 551
602 9282 542
5789 8003 637
4021 3070 249
4946 625 500
9249 9097 835
644 7112 420
7960 38 544
4283 9589 696
7836 9605 413
8888 3944 438
8162 5879 839
2518 3129 980
7300 2565 629
9259 2459 987
803 419 901
2500 4702 291
1265 8890 232
9572 3680 189
3516 3519 77
9396 1852 592
8877 4205 110
5506 7857 698
2845 1345 263
5634 604 430
1887 7760 889
8178 260 660
410 7877 362
8600 7449 604
2029 7317 285
6713 1360 621
5590 1918 83
7448 9775 781
7472 2827 646
8698 8801 429
5461 6678 444
413 479 48
8794 7796 685
8768 862 194
2851 2804 554
5382 3251 472
4561 5531 72
8360 1102 853
7156 2915 195
9204 3328 873
7242 2122 352
8436 890 501
7342 94 363
1815 6727 167
3191 3022 772
2045 9653 907
9439 4365 310
5635 1521 764
4860 7077 31
2066 9107 359
6781 6450 76
4300 4617 170
8425 9736 249
1324 1738 710
764 6103 370
2751 3976 486
7611 1053 518
8528 1725 229
3634 5662 594
4603 6264 28
7411 7313 339
9149 4035 943
1604 9873 59
1932 1391 162
2986 4621 774
1063 8036 654
1895 8880 601
1882 895 328
2837 7159 708
3529 2485 513
7148 9897 119
8017 5287 784
3143 8273 436
6798 9336 409
7399 7584 797
1727 5818 678
6788 5007 573
8301 8536 84
8420 2036 569
6832 8217 556
6859 8560 687
1485 4969 200
7173 2118 998
1109 8148 397
6927 8721 476
1935 2805 264
6823 5727 918
8860 8545 338
8334 1394 692
1546 9954 787
1275 2985 31
9746 4734 204
7894 4563 314
2968 4827 593
7852 9436 880
6398 7683 916
9512 8657 960
6404 6478 847
2710 7818 745
338 7155 776
84 1890 980
946 7632 646
3072 3730 120
7276 9518 176
3674 7201 92
3187 2210 52
7386 8614 743
3131 1325 574
8259 8015 392
8099 789 591
6077 3594 238
3376 7579 830
2800 7661 302
76 7179 479
103 732 571
9642 2942 624
7028 1557 367
6511 9234 293
4770 7249 37
4713 1700 937
4951 4129 78
9133 7505 25
7436 6657 604
5915 6734 265
9859 2379 486
3844 1566 123
3266 5528 557
3748 7553 861
3509 6430 253
2345 997 126
8184 4186 922
1476 6876 802
5950 3322 952
9794 1240 465
4703 859 267
3559 2212 795
9989 6475 562
3824 2963 687
8010 8766 871
4607 747 517
557 421 298
6703 1662 115
5971 3480 382
5882 2044 582
2224 4872 145
911 8696 834
4134 3059 149
7003 4438 915
1349 9046 658
5999 9603 406
3114 6307 179
8848 4066 193
2378 37 66
1643 1759 898
2793 2245 863
9060 9248 922
719 6950 361
3125 2949 759
5850 1264 714
1916 9994 439
8462 3764 477
5492 4553 597
9965 6201 415
684 3151 128
161 2453 239
4668 6133 953
2936 6128 766
7103 2787 595
5565 6551 696
3194 4663 645
5039 5568 353
7806 5534 306
2286 6218 860
2732 5816 525
1550 685 478
8962 8438 157
879 1341 568
426 6005 213
1817 1573 567
9623 3459 225
5786 2410 437
8774 2882 969
698 4740 178
3569 54 829
7286 2608 137
7712 4965 351
9529 6539 918
6350 4933 504
6028 6086 413
4790 3055 199
1454 7062 815
4336 592 941
5483 7392 639
2769 6353 346
6833 1318 697
8218 560 967
1983 2940 748
6350 5537 834
6226 6248 643
6022 7492 655
6119 7240 490
7438 9207 445
1500 6956 160
5583 9198 248
1120 4854 950
3698 7454 594
5196 9595 229
7808 5714 263
3605 9504 503
2117 7504 63
8848 6063 437
7563 7868 914
3146 3418 162
619 4624 465
669 2079 411
2375 8259 640
7854 9976 571
9921 7480 731
9425 6895 336
6929 7332 454
9345 1892 654
9761 7082 908
9531 6899 407
4156 2310 378
4494 2663 47
8701 2640 345
6472 7413 622
1219 7681 367
7026 8944 225
5057 227 286
4588 7127 693
8744 9437 423
4979 2388 471
5826 5051 245
9501 515 591
3882 7003 252
934 3580 285
9878 6725 663
4935 6953 950
5951 8609 995
8129 13 487
9008 4056 430
4572 5234 861
4806 8590 114
5740 2170 751
9133 2633 415
8854 6725 105
3816 565 408
3829 7995 538
7885 3797 546
8809 9032 408
3616 3974 874
9356 6144 625
1327 1392 392
69 2578 109
174 7785 657
2583 1601 383
9473 5430 300
9019 9667 295
9779 8477 93
3631 7801 477
5023 5480 299
6417 1637 133
9365 4705 307
8300 6306 699
7773 8088 351
3144 4107 647
2584 1921 924
8831 23 929
7080 6057 936
2977 6396 919
8799 1709 682
4798 4853 780
9242 4129 887
1163 5411 824
3615 6611 853
1682 3384 700
4091 8464 132
1213 3687 68
8661 7623 102
3812 5684 794
6890 7814 611
1019 5638 853
2782 843 369
9458 4880 960
5932 610 421
4064 4701 806
8468 1770 622
6131 7019 835
6077 5749 661
6593 511 211
9438 7091 825
4750 9871 757
8059 4797 872
1259 7280 96
8272 5447 467
248 505 413
7274 7980 934
3867 8491 145
1801 4330 167
9622 9080 859
2264 1952 82
7061 401 493
6140 7281 753
5931 6080 274
429 6299 684
2206 2496 528
417 8470 140
8499 734 221
993 4147 525
6262 5018 98
3043 7669 490
8991 8364 370
1197 7212 180
7966 5683 320
6465 2769 541
3810 6917 419
4908 8109 697
4384 5442 196
5773 3915 485
1430 9307 291
421 4024 503
5003 2288 236
7897 5105 919
4668 8916 41
176 7419 365
912 2862 914
9726 3796 398
1156 9456 174
7929 3480 29
2251 1068 64
4539 4340 67
9644 381 316
6001 6324 984
5751 1311 859
4792 1037 369
9318 8545 518
699 2826 974
9763 5077 806
5968 3566 183
5613 3947 499
525 3638 836
